Sentence,Sentiment,TestRandomSentiment,TestVaderSentiment,TestKerasSentiment
id respond go,0,-1,0,0
sooo sad miss san diego,-1,1,-1,-1
bos,-1,0,-1,0
interview leave alone,-1,-1,-1,0
son couldnt put release already bought,-1,-1,0,0
plug best ranger forum earth,0,0,1,0
baby fun smile,1,-1,1,1
soooo high,0,0,0,0
journey wow u become cooler hehe possible,1,1,1,1
much love hopeful reckon chance p im never gon na get cake stuff,0,-1,1,0
really really like song love story taylor swift,1,1,1,1
run low,-1,0,-1,0
want go music tonight lose voice,-1,-1,-1,-1
test test,0,0,0,0
uh oh sunburn,-1,0,0,-1
try plot speak sigh,-1,1,1,-1
ive sick past day thus hair look didnt hat would look,-1,-1,-1,-1
back home gon na miss every one,-1,0,-1,-1
he,0,1,0,0
oh im sorry hope find soon,0,0,1,0
play ghost online really interest new update pet third job cant wait dragon pet,1,-1,1,1
cleaning house family later today,0,-1,0,0
get ta computer thought win suppose put end constant,0,1,1,0
see wat mean bout call lose friday smh,0,1,-1,-1
free app ipod fun im addict,1,0,1,1
im sorry,-1,-1,-1,-1
way internet access twit,-1,0,0,-1
juss come omg fun havent minute,1,1,1,1
go sleep power cut power back work,-1,-1,-1,0
im go home see new twitter design,1,0,0,0
hope make audition fight,1,-1,1,1
get test hahaha say well much unhappy minute,-1,1,1,0
thats funny cute kid,1,-1,1,1
ahhh slept game im gon na try best watch tomorrow though hope play army,0,0,1,1
thats end tear fear v eric dj hero,0,0,1,0
born raise nyc living texas past year still miss ny,-1,0,-1,-1
case wonder really busy today come add ton new blog update stay tune,0,-1,0,0
im soooooo last day school,-1,-1,0,1
little happy wine ok free time care love day,1,1,1,1
car happy big big boot hop theyre go write cross finger wait,0,1,1,1
im fan magazine love magazine,1,-1,1,1
rock nashville thing suck like still fun show hott bad boy look,0,0,-1,0
love im available pm dear would love help convert,1,0,1,1
girl hair ask shall old feel,0,1,0,0
blah dunno wan na go work hangover im drunk mess,-1,1,-1,-1
visit friendster facebook,0,-1,0,0
like also dont like go shopping run money crawl round car look,-1,0,1,-1
case get new one last week im thrill mine,-1,-1,1,1
check connect tweeple hate twitter,0,-1,-1,-1
also bore school third,0,-1,-1,-1
hm u guess,0,0,0,0
u past day,-1,0,0,0
zero funny,1,-1,1,1
id rather early morning,0,1,0,0
bah coworker ran work late bag smack knee really hurt,-1,0,-1,-1
back later,0,1,0,0
aw torn ace heart,-1,1,-1,-1
fun speak,0,-1,1,1
lose friend im alone wan na go home,-1,1,-1,-1
haha yes,0,0,1,0
give easily,-1,0,1,0
well way spoil mum let kick back relax nice meal bottle favorite wine wine red,1,0,1,1
_ get iphone im jealous,-1,0,-1,-1
photoshoot,0,0,0,0
he awesome work he good friend,1,0,1,1
yay play show tonight boo gon na im work right play,0,1,1,0
know let know,0,-1,0,0
still smell smoke,0,-1,0,0
sound well dont think lol,1,-1,-1,0
anyone extra ticket promise buy drink take pic fb blog flickr etc,0,0,1,0
ride one catch one summer til pop open one,0,0,0,0
good yea kno ask yesterday tha hospital talk u say,0,0,1,-1
ok im popped say hi check thing ill probably head later tonight,0,1,-1,0
wow really missin family today,-1,-1,1,-1
source say,0,0,0,0
sooo tire,-1,-1,0,-1
hey change twitter account didnt even tell,0,-1,0,0
thank,1,1,1,1
lucky wan na see pity im oz,1,0,1,1
fell asleep wait ride,0,0,0,0
sick flu like thing,-1,0,-1,-1
still reply problem video get response sorry guy,-1,0,-1,-1
happy star war day everyone enjoy holiday uk,1,1,1,1
mile im give plenty warn arrive time get least one free beer,0,-1,1,0
snore annoy n keep sleep like right lol honestly wud miss left love,0,-1,1,0
miss bby wish go tomorrow make good,-1,1,1,0
well im work isnt quite ready post still beta test cool new script cod,1,0,1,1
san awesome love,1,1,1,1
yes last way past bedtime,0,-1,1,0
hi join twitter,0,-1,1,0
wait sleep pill kick gon na tire work tomorrow,-1,-1,0,-1
eat ice cream get ready graduation,0,0,1,0
happy mother day mum,1,-1,1,1
go little carpet shes prolly freak cause new get back,-1,1,-1,-1
unfortunately,-1,0,1,-1
gon na read story bout adam online bed nighty night,0,0,0,0
saw none best,1,1,-1,1
im beach pretty,1,-1,1,0
certainly cheer huh,0,0,1,0
week post jumping next dirty start hand ouch,-1,0,-1,-1
realy want go cause nice busy,-1,1,1,-1
awesome im ocean beach know way im real big fan,1,0,1,1
least get watch time let go pen,0,1,0,0
cool wear black time go,0,1,1,1
haha know work blip apart obvious thanks song nice day,1,1,1,1
safe trip knock dead speech,1,0,-1,1
wish allow go,1,1,1,1
u friendster add email add add leave comment,0,0,-1,0
ticket,0,-1,0,0
thank spray also get giant tonight,1,-1,1,1
think one one kept comfort bedroom yes,0,1,1,0
aww love daddy work day week almost day still try go sf u,1,0,1,1
many test dont feel,-1,1,-1,-1
graduation do im little sad anyone want hang,-1,0,-1,-1
holy smoke star trek freak,1,-1,-1,0
hate keep make jump im also low health money food dont worry ill get,0,0,-1,-1
itunes lose song,0,-1,-1,0
whats gloomy weather sun must tire come play head victoria garden buy haha,0,-1,1,-1
look forward next week math geography english french exam total hour,-1,1,0,-1
poor get outside sleep garden sun good dont forget,-1,1,1,-1
well,-1,-1,1,0
prob hun,1,-1,0,0
dad watch mtv go sims,0,1,0,0
absolutely,0,-1,0,0
whats matter,0,0,0,0
hey mia totally adore music cd,1,1,1,1
shopping cleaning webcam chat nephew nothing good bank holiday monday,1,0,1,1
need ask something lmao love,1,1,1,1
look save mr,-1,-1,1,0
sad,-1,-1,-1,-1
nice see tweet sunday th may celebrate mother day today nice yer mom,1,-1,1,1
decide frm hair wish whole head look like root age instant,1,1,1,1
r people say word,0,0,0,0
congrats like matter minute didnt know reward,0,-1,1,0
oh yes,0,-1,1,0
miss awesome weather movie,-1,-1,1,0
today go normal day hope group large come last night much drink,0,-1,1,0
kid terrible good id call,-1,0,-1,-1
longer fly fly drive one day,-1,1,0,0
whats sad actually google term suck tho,-1,-1,-1,-1
hate fight,-1,-1,-1,-1
watch didnt want win put good,0,1,-1,1
taste like sore throat,-1,1,0,-1
come th cross country beat,0,1,0,0
shes shes suppose thats shes relate,1,-1,0,1
tomorrow lunch go get hair do im late get cousin whatever spell,0,0,0,0
morning tweet week three workout mention get new glass yesterday,1,0,0,0
hate computer much,-1,-1,-1,-1
fine go big walk today mile,1,1,1,0
want red dont like one lmfao,-1,0,-1,-1
morning,0,0,0,0
neither,0,1,0,0
hour work sunday boo find time two hour though yeah,0,-1,1,0
bugger forgot still wash machine,-1,0,0,0
send love blessing heal thought family peace,1,1,1,1
back bad,-1,-1,-1,-1
ah yes know feel,0,1,1,0
night cooker dad,0,1,0,0
modem offline week god bless g network tim left may schedule,-1,1,-1,-1
nope,0,1,0,0
parent teacher thing yesterday boring go saturday lol,-1,1,1,-1
tweetup sound like fun hope see everyone else,1,-1,1,1
big boom thunder storm almost maybe go home early ah probably,0,0,0,0
day day,1,0,0,0
first night wout im actually excite summer,1,1,1,1
good morning,1,0,1,1
best show ever,1,0,1,1
url previous post job id remove space mess url e,-1,-1,-1,-1
think iv hurt tooth draw draw cooky pineapple haha l,0,0,-1,-1
want know audition text please,0,0,1,0
even nooooo secret please,-1,-1,1,-1
miss cant wait see bad n grown lol,-1,-1,1,-1
need get computer fix,0,1,0,0
really hope car,-1,0,1,1
cool people want find follow today english guess english dont tweet,0,0,1,0
woulda put dont,0,0,0,0
watch xmen origin wolverine totally love haha,1,-1,1,1
vote u personal myspace keep talk fake u help thru time life x,1,0,-1,0
im sad miss guy last night,-1,1,-1,-1
finally get call marriage day late,0,0,0,0
ok,0,1,1,0
_ baby,0,-1,0,0
today last day high school end go home sick stupid dead rat,-1,0,-1,-1
pool party except dont know swim cant get,0,0,1,0
lose tooth day whilst eat,-1,0,-1,-1
happy year,1,0,1,1
oh hella forgot say official good morning like hear go twitterville lol,1,1,1,1
phew make note case anyone else run,0,-1,0,0
vote every day,-1,1,0,0
im starve diet kill cant eat pm,-1,1,-1,-1
talk,0,-1,0,0
im soo miss music channel,-1,-1,-1,-1
nite nite bday girl fun concert,1,-1,1,1
replacement hour far good sleep hour get bit,0,0,1,0
whats lately either cant get reply dont turn,0,0,0,0
sleep lose voice couple day ago,-1,1,-1,-1
hate park car get hit,-1,-1,-1,-1
ive heard fall im wait,0,0,0,0
nightmare,0,0,0,0
feel disappointed skill internet,-1,0,-1,-1
go bed late headache,-1,-1,0,-1
happy mother day mom,1,0,1,1
grab coffee make mom breakfast,0,-1,0,0
im think im go fun maybe change come,1,1,1,1
thanks major chop,0,-1,1,0
haha know cant handle thank,1,1,-1,1
get update ipod,0,0,0,0
yes sober hahaha dude haha wild dont plan plan go u,1,0,1,1
never miss son huge crush,1,-1,1,-1
saw james store today head really,0,0,0,0
yellow,0,0,0,0
mean youre go come back vancouver way hahah,0,0,0,0
feel smooth like chrome,1,0,1,-1
ew traffic,-1,0,0,-1
download song try sneak lil homework main priority song lol,0,1,1,0
need coffee,0,0,0,0
sound like,0,-1,1,1
bad day day realize mess youve put one happiest day life,0,1,-1,0
walk class hate mine,-1,1,-1,-1
fail inspection know pas sell bad tax,-1,1,-1,-1
jonas brother live party rock hard love song,1,-1,1,1
happy mother day mother world,1,-1,1,1
min hr min google wave demo look lot fun would love test though,1,-1,1,1
sleepy head bed fun night listen next episode,1,1,1,1
short dude yum,0,-1,0,1
screw review thought wolverine awesome enough like,1,-1,1,0
follow u recently please dont offend havent follow back hit limit hopefully free soon,1,1,1,1
yes work,0,0,1,0
hmmm maybe thats meant something brand new know medium,0,0,0,0
do meeting late lunch,0,1,0,0
happy monday go today hope everyone bless day,1,1,1,1
always want go oz,0,0,1,0
thx,0,-1,1,1
cool luv,1,-1,1,1
thats need represent blackberry,1,0,0,0
okay im dedicate th tweet fact im go apple store huge crack glass screen,0,1,1,0
could ever actually allow stay,0,0,1,0
let know turn,0,0,0,0
long isnt back haha,0,-1,-1,0
yeah think ahaha,1,0,1,0
sport bar rest sport bar w dont know whether help google ho,0,-1,-1,0
im sleep,-1,1,1,0
wolverine bos seriously william,-1,0,-1,-1
live pain bring,0,1,-1,-1
okay im back later,0,1,1,0
challenge keep talk im follower,0,0,1,0
almost die laptop screen set reinstall window vista get headache,1,0,-1,-1
wait get get drive mom pick first time,0,0,0,0
try decide movie friend go well lol p study nite mean day cake buy,-1,-1,1,0
go shower dont want smell school tomorrow,0,-1,-1,0
sigh know,0,0,0,0
discover cause bug new build bug fix hopefully new beta tomorrow,1,-1,1,1
free twitter tool get follower,0,0,1,0
get home work big bottle apple juice,0,-1,0,0
yes please dont go die cry normally lead small animal get,-1,0,1,0
write report card soooo tire amaze day check fb soon,1,-1,1,0
big im do,0,0,0,0
good news finally finish workout hour bad news band torn,0,0,-1,0
well good morning wonderful day neighborhood thanks follow another morning,1,1,1,1
ftsk amaze tonight always,1,0,1,1
hope ok,1,0,1,1
cant school do already hurt much see every day,1,-1,-1,-1
wait listen wind blowing none old enough know someone say,0,0,0,0
hell yeah,0,0,-1,0
shirt dinner need ask actually,0,-1,0,0
know,0,-1,0,0
huh noooo love alex,0,0,1,0
go party last night show match outfit great mind think anyway happy birthday ate,1,1,1,1
happy bday woke side earth wish bit late,1,1,1,1
thank teach well person day love much youre best mum world,1,-1,1,1
happy mother day,1,1,1,1
laugh im glad self wonderful ill extra loud okay,1,-1,1,1
thanks,1,1,1,1
twitter day,0,0,0,0
get ready week nice today stuck inside work,1,1,1,0
depressed,-1,1,-1,-1
felt like behave like son ate pig sugar painful threw still feel sick,-1,0,-1,-1
happy mother day people love mom lot still,1,-1,1,1
im sorry hear,-1,1,-1,-1
thats awesome dude yay surprise celebrity get meet year ago soooo friendly,1,0,1,1
make happy hear girl talk tweet nba could give nugget love,1,-1,1,1
get hang twitter,0,0,0,0
know neck force pay parking bc cant turn head park free space,-1,0,1,-1
want back,0,-1,1,0
go miss longer roomy start tomorrow,-1,0,-1,-1
two little angel,0,-1,0,0
yep finish full spell error im cleaning tomorrow pop hehe,-1,1,-1,0
lol true always remember never remember date even day,0,1,1,0
family,0,1,0,0
watch ellen love dish tan gorgeous,1,0,1,1
whats goin hun im worried,-1,1,-1,-1
im work till,-1,-1,0,0
morning get see ill let know right im go go see wolverine,0,1,-1,0
red top build em knock em,0,1,1,0
tonight party w girl minus,1,0,1,0
make sad thought youd jumping joy,0,0,1,-1
simple,0,-1,0,1
pic uploaded baby pic cat missy adult pretty little kitty kitten heaven,0,-1,1,0
saw play amaze,1,0,1,1
_ glad break twitter two,1,-1,1,1
dinner fam miss,-1,0,-1,-1
thats want well bound bad egg though soon learn,0,0,-1,0
hell yeah get twitter finally,0,0,-1,0
know worth shot though,1,0,1,1
open facebook account im little confuse dont really get twitter seem much well,1,0,1,-1
ship im stuck,-1,-1,-1,-1
baby wait x,1,1,0,1
go happen pass shame life x,-1,-1,-1,-1
look like office tv get network look like game today,0,0,1,-1
home empty hand comic found today shall cupcake bakery,0,-1,1,0
lay bed til oh life definitely nerve,-1,-1,1,-1
today busy day exhaust,-1,0,-1,-1
go go sunday ive get much go weekend,0,0,0,0
sorry hear ur flight get cancel blow,-1,1,-1,-1
ohh tooth hurt ohh im sad hurt,-1,-1,-1,-1
get distract id like thank new follower take trouble follow others feelin love,1,1,1,1
u think u bill finish pay mine thats im broke,-1,0,-1,-1
sure didnt say big jst saw pic u ur last bday look pretty miss,0,0,1,0
sore throat planning time,0,0,-1,-1
mcfly gig last omg didnt sit whole thing mcfly see best mate,1,-1,1,0
day without sleep migraine thought life meant relax,-1,0,1,-1
suck,-1,1,-1,-1
sway sway winner announce,0,-1,1,0
k check,0,1,0,0
pretty well wide awake,1,1,1,0
want wake early get coffee tomorrow today go day keep write booo whoo,0,1,1,1
miss daddy mommy,-1,0,-1,-1
dog officially depressed brother dog go doesnt want go outside play,-1,1,-1,-1
realize cant forward text msg iphone,0,-1,0,0
post find new car parent excite,1,-1,1,1
argh noo miss killer suck miss total failure anyone know repeat must investigate,-1,0,-1,-1
seriously bore without anyone talk tire enough sleep,-1,-1,-1,-1
lose please help find good home,-1,-1,1,-1
peter morning go piece wan na hide go piece almost die ever,0,0,-1,0
